sites	X9	X12	Mont	Name_fish	Data	Year_sampling	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9.1	X10	X11	X12.1	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33
P0747	42	422	422a	P0747	Fish_Cerrado_MS3	2016	87.80942046	87.88098006	87.92224038	87.93944209	87.72710539	87.81672447	87.94950902	87.90892239	87.9327865	87.97038294	88.01177208	88.11607058	88.34638753	88.46274743	88.49028047	88.61419818	88.58498609	88.23386246	88.07806534	88.11374963	88.02105544	87.91672679	88.0861916	87.0949119	85.87836411	85.38983628	85.01600527	83.05290662	80.5030566	78.72375257	76.69860252	76.89267739	NA	NA
P0748	29	292	292b	P0748	Fish_Cerrado_MS3	2016	88.53951465	88.77181997	89.27168641	89.90730304	90.77853886	91.08094389	91.32898831	91.19640444	91.18978042	91.33308509	91.26912404	91.30899348	91.45907189	91.57093326	91.61083748	91.64194461	91.49448495	91.66000433	91.50830131	91.16121741	90.88034961	90.19775065	89.45162398	88.91898659	87.47230416	85.92669589	84.84602142	81.99947966	77.81033133	71.4489455	66.07777787	66.29045533	NA	NA
P0750	28	281	281a	P0750	Fish_Cerrado_MS3	2016	81.24484571	81.25170652	81.34333852	81.53489899	81.68536015	81.97710463	82.10184437	82.09506253	82.08688235	82.12848242	82.12269985	82.19028122	82.22639243	82.18598045	82.01798549	81.92399446	81.88067761	82.02982754	82.11355506	82.12474458	82.129753	81.96809181	81.84069479	86.77080328	81.90645293	81.78544257	81.71972553	81.32115513	81.08356111	80.44821932	79.88484393	79.89313591	NA	NA
P0751	26	262	262b	P0751	Fish_Cerrado_MS3	2016	79.71042023	79.6921222	79.86193156	79.80379215	79.99587282	80.30433849	80.51592721	80.51696204	80.57520598	80.59565216	80.60032931	80.69219647	80.65997549	80.61755334	80.4772219	80.44022549	80.51469315	80.38074426	80.260329	80.10839897	80.06024286	79.83095705	79.69493725	79.6657704	79.50977594	79.31726738	79.25615083	78.88767629	78.4440498	77.87498858	77.32563016	77.3932674	NA	NA
P0752	26	264	264a	P0752	Fish_Cerrado_MS3	2016	79.71042023	79.6921222	79.86193156	79.80379215	79.99587282	80.30433849	80.51592721	80.51696204	80.57520598	80.59565216	80.60032931	80.69219647	80.65997549	80.61755334	80.4772219	80.44022549	80.51469315	80.38074426	80.260329	80.10839897	80.06024286	79.83095705	79.69493725	79.6657704	79.50977594	79.31726738	79.25615083	78.88767629	78.4440498	77.87498858	77.32563016	77.3932674	NA	NA
P0753	30	301	301a	P0753	Fish_Cerrado_MS3	2016	92.49979746	92.4772375	92.70374555	92.77695823	92.87945168	93.05957373	93.46570497	93.46210425	93.54330474	93.59345017	93.6245696	93.78565764	93.84375613	93.80351539	93.68041312	93.51404133	93.5052586	93.52280774	93.57174391	93.56280752	93.56866208	93.57838276	93.58698758	93.66050597	93.5578871	93.36812049	92.76979729	91.68841637	90.99626212	89.90483339	89.60875869	89.65211403	NA	NA
P0754	37	371	371a	P0754	Fish_Cerrado_MS3	2016	84.77239035	84.70572441	84.66358081	84.71096356	84.73521697	84.72586542	84.63522505	84.74770997	84.6048976	84.69625173	84.75366316	84.6794794	84.82485549	84.9696857	84.92070871	84.97388582	84.7363906	84.01563289	83.75616404	83.64856225	83.52786169	83.20181843	83.27598305	82.88012593	82.32010584	81.73905389	81.38384351	81.22653479	81.59801155	81.33904535	80.9584208	81.04140131	NA	NA
P0755	37	372	372a	P0755	Fish_Cerrado_MS3	2016	84.77239035	84.70572441	84.66358081	84.71096356	84.73521697	84.72586542	84.63522505	84.74770997	84.6048976	84.69625173	84.75366316	84.6794794	84.82485549	84.9696857	84.92070871	84.97388582	84.7363906	84.01563289	83.75616404	83.64856225	83.52786169	83.20181843	83.27598305	82.88012593	82.32010584	81.73905389	81.38384351	81.22653479	81.59801155	81.33904535	80.9584208	81.04140131	NA	NA
P0756	35	352	352a	P0756	Fish_Cerrado_MS3	2016	84.77387042	84.75286768	84.87975568	84.95838978	85.15289167	85.2760095	85.4334694	85.55518997	85.58366399	85.61546129	85.6828181	85.66227633	85.75700508	85.86816611	86.13466035	86.06707299	86.14412357	86.09081369	86.1895895	86.00686096	85.71752108	85.64798597	85.58896103	85.80983272	85.92918145	86.05631268	86.18459115	85.78167781	85.61241846	85.2904242	84.60972858	84.65227957	NA	NA
P0758	47	473	473a	P0758	Fish_Cerrado_MS3	2016	81.1395724	81.0370718	81.19408197	81.3451517	81.1700159	81.16733039	81.07478524	80.86714187	80.80095686	80.67971655	80.23563125	80.29170168	79.95683841	79.66715443	79.93364535	79.63038485	79.20608165	79.52304918	80.51060741	79.91937378	80.36203802	79.96286212	79.84204079	79.68359212	78.90740724	78.51846741	78.41087835	78.1051113	78.00535848	78.39856234	78.69633803	78.81897651	NA	NA
