"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0303","P0303",-30.823874,-53.194339,"SBV1303","fish_CamposSulinos_RS",16,2,"P0303",2014,5.50144932,4.683329289,0,0,0,29
"P0312","P0312",-30.809709,-55.537394,"SLI1403","fish_CamposSulinos_RS",21,3,"P0312",2014,15.03501221,2.312420724,0,0,0,29
"P0314","P0314",-30.605547,-55.376349,"SLI1405","fish_CamposSulinos_RS",24,3,"P0314",2014,15.03501221,3.354109105,0,0,0,29
"P0325","P0325",-32.256,-53.37567,"JAGex1401","fish_CamposSulinos_RS",19,1,"P0325",2014,28.7405719,18.27923941,0,0,0,29
"P0333","P0333",-13.797861,-48.802583,"P1","fish_Cerrado_GO",16,98,"P0333",2013,48.06580097,11.2593985,0,0,28,28
"P0334","P0334",-13.776889,-48.828491,"P2","fish_Cerrado_GO",12,98,"P0334",2013,48.06580097,16.50926898,0,0,28,28
"P0339","P0339",-13.747194,-48.866556,"P7","fish_Cerrado_GO",11,98,"P0339",2013,48.06580097,23.46407845,0,0,28,28
"P0342","P0342",-13.833944,-48.908333,"P10","fish_Cerrado_GO",18,98,"P0342",2013,48.06580097,8.534149913,0,0,28,28
"P0343","P0343",-13.826722,-48.902556,"P11","fish_Cerrado_GO",10,98,"P0343",2013,48.06580097,8.83781159,0,0,28,28
"P0344","P0344",-13.444444,-48.602806,"P13","fish_Cerrado_GO",22,99,"P0344",2013,33.48960876,15.39637732,0,0,8,28
"P0345","P0345",-13.743056,-48.833889,"P14","fish_Cerrado_GO",8,98,"P0345",2013,48.06580097,12.59492931,0,0,28,28
"P0349","P0349",-13.480833,-48.620722,"P18","fish_Cerrado_GO",25,99,"P0349",2013,33.48960876,6.19266055,0,0,8,28
"P0350","P0350",-13.481944,-48.650611,"P19","fish_Cerrado_GO",12,99,"P0350",2013,33.48960876,34.27927928,0,0,8,28
"P0351","P0351",-13.558722,-48.674194,"P20","fish_Cerrado_GO",19,99,"P0351",2013,33.48960876,11.2354521,0,0,8,28
"P0352","P0352",-13.546417,-48.681722,"P21","fish_Cerrado_GO",21,99,"P0352",2013,33.48960876,5.907885218,0,0,8,28
"P0353","P0353",-13.511944,-48.651667,"P22","fish_Cerrado_GO",16,99,"P0353",2013,33.48960876,22.51620817,0,0,8,28
"P0354","P0354",-13.522333,-48.646861,"P23","fish_Cerrado_GO",7,99,"P0354",2013,33.48960876,7.834441981,0,0,8,28
"P0355","P0355",-13.417194,-48.607028,"P24","fish_Cerrado_GO",21,100,"P0355",2013,35.68670268,6.496119575,0,0,11,28
"P0356","P0356",-13.392222,-48.602611,"P25","fish_Cerrado_GO",9,100,"P0356",2013,35.68670268,9.95394304,0,0,11,28
"P0357","P0357",-13.363611,-48.59925,"P26","fish_Cerrado_GO",15,100,"P0357",2013,35.68670268,5.268205796,0,0,11,28
"P0358","P0358",-13.339778,-48.612861,"P27","fish_Cerrado_GO",16,100,"P0358",2013,35.68670268,0,0,0,11,28
"P0359","P0359",-13.283944,-48.626722,"P28","fish_Cerrado_GO",15,100,"P0359",2013,35.68670268,23.13771403,0,0,11,28
"P0361","P0361",-13.813389,-48.891278,"P30","fish_Cerrado_GO",28,98,"P0361",2013,48.06580097,23.84706658,0,0,28,28
"P0362","P0362",-15.0765,-48.9658,"BA1","fish_Cerrado_GO",12,94,"P0362",2013,57.59411848,53.59725923,0,28,28,28
"P0363","P0363",-15.0947,-48.9862,"BA2","fish_Cerrado_GO",3,94,"P0363",2013,57.59411848,28.21338239,0,28,28,28
"P0373","P0373",-15.0503,-48.9555,"BA13","fish_Cerrado_GO",8,94,"P0373",2013,57.59411848,14.33506045,0,28,28,28
"P0377","P0377",-14.3407,-48.3391,"Ni4","fish_Cerrado_GO",3,96,"P0377",2013,31.25779682,36.63863355,0,0,1,28
"P0379","P0379",-14.3687,-48.7169,"Ni6","fish_Cerrado_GO",7,95,"P0379",2013,47.5438324,10.29644553,0,0,2,28
