"","Acestrorhynchus_lacustris","Apareiodon_piracicabae","Aspidoras_fuscoguttatus","Astyanax_altiparanae","Astyanax_fasciatus","Astyanax_paranensis","Astyanax_bockmanni","Bryconamericus_stramineus","Callichthys_callichthys","Cetopsorhamdia_iheringi","Characidium_gomesi","Characidium_lagossantense","Characidium_zebra","Cichlasoma_paranaense","Corydoras_aeneus","Crenicichla_britskii","Cyphocharax_modestus","Cyphocharax_vanderi","Eigenmannia_virescens","Erythrinus_erythrinus","Geophagus_brasiliensis","Gymnotus_sylvius","Gymnotus_inaequilabiatus","Hemigrammus_marginatus","Hisonotus_francirochai","Hoplosternum_littorale","Hoplias_malabaricus","Hypostomus_ancistroides","Hyphessobrycon_anisitsi","Hyphessobrycon_eques","Hypostomus_nigromaculatus","Imparfinis_schubarti","Knodus_moenkhausii","Laetacara_aff_araguaiae","Leporinus_friderici","Leporinus_lacustris","Leporinus_paranensis","Lepthoplosternum_pectorale","Leporinus_striatus","Moenkhausia_sanctaefilomenae","Oligosarcus_pintoi","Oreochromis_niloticus","Pamphorichthys_hollandi","Parodon_nasus","Phalloceros_harpagos","Phenacorhamdia_tenebrosa","Piabina_argentea","Pimelodella_avanhandavae","Planaltina_britskii","Poecilia_reticulata","Prochilodus_lineatus","Pseudopimelodus_pulcher","Pyrrhulina_australis","Rhamdia_quelen","Rivulus_pictus","Satanoperca_pappaterra","Serrapinnus_heterodon","Serrapinnus_notomelas","Serrasalmus_maculatus","Serrasalmus_marginatus","Steindachnerina_insculpta","Synbranchus_marmoratus","Tilapia_rendalli"
"P1206",0,0,8,12,23,0,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,0,0,3,0,0,0,0,0,0,0,0,8
"P1221",0,0,4,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0
"P1223",0,0,9,5,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0
"P1243",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,0,0,0,2,0,0,0,8,0,0,0,0,0
"P1244",0,2,3,420,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,6,4,0,3,4,0,0,0,7,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,16,0,0,1,0,1,0,0
"P1245",0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0
"P1246",0,0,9,39,62,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,2,0,0,10,0,1,4,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,45,0,0,74,0,0,0,4,0,0,0,37,0,0,0,0,0
"P1247",0,0,1,4,0,0,0,0,0,3,1,0,10,0,3,3,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,4,0,1,2,0,2,1,0,0,0,4,0,0,0,1,0,0,0,0,0
"P1248",0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"P1253",1,0,5,17,0,0,0,0,0,0,0,0,23,2,0,5,1,0,1,0,3,19,0,25,0,0,1,15,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,19,0,0,0,0,0,0,1,0,0,32,21,0,0,16,0,0
"P1255",0,0,7,24,17,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,1,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"P1256",0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1257",0,0,11,5,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0
"P1258",0,0,4,38,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,1,0,19,0,0,3,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,2,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0
"P1259",0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,1,0,0,0,0,0,0,0,0,0
"P1260",0,0,21,47,3,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,30,0,0,0,0,0
"P1261",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"P1262",0,0,1,3,0,0,0,0,0,0,0,7,0,3,0,2,0,1,0,1,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,31,0,0,0,0,0
"P1263",0,0,0,0,18,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1265",0,0,90,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,12,31,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,4,0,0,0,2,0
"P1266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
