9_sig	12_sig	Mont_sig	Name_fish	Data	Year_sampling	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
121	1212	1212a	P0087	Fish_Amazonia_PA	2011	0.100070049	0	0	0	0.1100770539	0.1100770539	0	0	0.2701891324	0.2701891324	0	0	0	0	0	0	0.3902731912	1.541078755	1.59111378	1.59111378	1.59111378	1.59111378	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
120	1202	1202a	P0088	Fish_Amazonia_PA	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3820439351	0.3820439351	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
119	1192	1192a	P0089	Fish_Amazonia_PA	2011	17.87806809	18.44983357	19.5276589	21.08185279	22.83627124	23.1465312	23.68962787	23.95882819	23.70546318	23.37292162	24.101346	25.55819477	25.24148852	22.9770388	25.50047664	26.23707239	28.67611917	28.80356858	28.24633991	24.05384006	21.3618369	21.88440222	21.91607284	22.1746711	22.60469543	22.83163265	23.40289947	NA	NA	NA	NA	NA	NA	NA
116	1162	1162a	P0093	Fish_Amazonia_PA	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
115	1152	1152a	P0094	Fish_Amazonia_PA	2011	0.02845354958	0.03082467871	0.01896903305	0.03556693698	0.04979371177	0.03319580784	0.01896903305	0.01896903305	0.08298951961	0.1280409731	0.2134016219	0.2750509793	0.2963911415	0.251339688	0.1897218204	0.3154723784	0.5976379073	0.8559776165	1.178451178	1.60999668	3.201024328	5.095556504	8.085550339	8.481528904	8.488642291	8.415137288	8.46336258	NA	NA	NA	NA	NA	NA	NA
120	1203	1203a	P0096	Fish_Amazonia_PA	2011	24.61688947	24.58428432	25.23638735	26.67101402	27.2905119	27.68177372	28.69253342	30.48581676	31.30094555	32.14867949	32.01825888	32.11607434	32.96380828	34.26801435	35.01793283	35.01793283	34.59406586	32.47473101	33.45288556	33.45288556	33.45288556	33.51809586	33.38767525	34.75709162	34.59406586	34.59406586	34.59406586	NA	NA	NA	NA	NA	NA	NA
120	1203	1203b	P0098	Fish_Amazonia_PA	2011	0.9054988475	0.7079354626	0.5103720777	0.3786631544	0	0.08231807705	0	0	0.3292723082	0.3292723082	0	0	0	0	0	0	0	0	0	0.3457359236	0.5103720777	0.5103720777	0.4280540007	0.7079354626	0.7079354626	0.7079354626	0.7079354626	NA	NA	NA	NA	NA	NA	NA
113	1131	1131a	P0111	Fish_Amazonia_PA	2011	52.85285285	52.21888555	52.70360481	52.88814691	53.12186978	53.01968635	44.14414414	44.37771104	53.92058725	53.52018685	52.25225225	47.74774775	45.64564565	49.54954955	53.52018685	53.11978645	52.98631965	48.31160147	46.57305249	49.38271605	48.11478145	38.80547214	37.23723724	45.07841175	47.31398065	27.49416083	22.18885552	NA	NA	NA	NA	NA	NA	NA
113	1132	1132b	P0112	Fish_Amazonia_PA	2011	16.45478962	16.51745748	16.26678603	16.17726052	16.16830797	16.9561325	18.29901522	18.97045658	17.88719785	18.782453	18.87197851	13.98388541	13.26768129	17.34109221	19.49865712	17.82452999	18.97940913	16.65174575	14.56580125	14.78961504	15.25514772	13.24977619	10.67144136	11.96956132	12.54252462	9.471799463	7.197851388	NA	NA	NA	NA	NA	NA	NA
113	1131	1131b	P0113	Fish_Amazonia_PA	2011	69.80264936	70.05542788	70.74885104	71.37637028	71.35113159	67.19934995	67.66458954	68.3326561	65.66012187	65.06626995	64.13690476	52.39189189	50.28416779	62.27868631	68.65025697	66.84679816	66.78822258	55.77130529	45.15216806	41.74065106	42.23569024	36.92929293	29.89123137	26.3596079	27.850141	20.26319323	25.08392641	NA	NA	NA	NA	NA	NA	NA
113	1132	1132a	P0114	Fish_Amazonia_PA	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA
112	1121	1121c	P0118	Fish_Amazonia_PA	2011	52.37592397	59.29250264	60.82365364	57.70855333	56.65258712	51.95353749	53.95987328	55.27983105	53.48468849	53.48468849	50.84477297	34.8468849	33.843717	50.84477297	49.89440338	41.34107709	38.12038015	30.41401274	23.14225053	19.27138332	20.43294615	22.01689546	20.43294615	20.16895459	20.6969377	17.52903907	14.80106101	NA	NA	NA	NA	NA	NA	NA
112	1121	1121a	P0119	Fish_Amazonia_PA	2011	50.3975265	52.14222615	50.75088339	50.48586572	50.15459364	49.49204947	52.58392226	52.20848057	51.5459364	51.08215548	48.80742049	38.53798587	33.9664311	40.08392226	39.8630742	34.20936396	32.50883392	22.41607774	21.17932862	20.91431095	26.36925795	23.25530035	21.73144876	23.32155477	25.3754417	21.90812721	16.47526502	NA	NA	NA	NA	NA	NA	NA
112	1121	1121b	P0120	Fish_Amazonia_PA	2011	28.13896073	29.11079746	29.54010821	30.34989709	31.0085269	30.91849935	30.91261908	30.64800659	29.76358504	28.1119539	27.88851649	24.14462081	24.07429176	27.1498266	26.74152019	21.47307783	21.06561711	16.31322329	15.07372379	13.26440698	14.09269811	13.81660107	13.04705399	12.10714915	11.67244317	7.431122599	6.10350702	NA	NA	NA	NA	NA	NA	NA
112	1122	1122a	P0121	Fish_Amazonia_PA	2011	0	0	0	0	0	0	0	0	0	0.1002204851	0.1002204851	0	0	0.1202645821	0.1202645821	0	0	0	0	0	0.1202645821	0.1202645821	0.1202645821	0.1002204851	0.1202645821	0.1202645821	0	NA	NA	NA	NA	NA	NA	NA
111	1112	1112a	P0124	Fish_Amazonia_PA	2011	20.35211669	21.43040283	21.74662412	21.84918238	21.77226369	22.49383877	23.39558671	22.32493875	20.34072133	18.8835394	18.16848043	12.94798017	11.09908267	13.52059712	14.90940687	13.1260327	11.86022991	7.083641958	5.921315025	4.645034471	4.411429548	3.707765939	3.177881602	3.967010427	3.974132528	4.871517292	4.277534044	NA	NA	NA	NA	NA	NA	NA
