pto;ID_Name;Latitude;Longitude
P0647;Fish_Cerrado_MS2;-22.19158;-56.08481
P0656;Fish_Cerrado_MS2;-21.75716;-57.1901
P0657;Fish_Cerrado_MS2;-21.67633;-57.17568
P0659;Fish_Cerrado_MS2;-21.72587;-57.03773
P0674;Fish_Cerrado_MS3;-21.657333;-54.424944
P0675;Fish_Cerrado_MS3;-21.56575;-54.485083
P0676;Fish_Cerrado_MS3;-21.539083;-54.557167
P0682;Fish_Cerrado_MS3;-22.153139;-54.939556
P0683;Fish_Cerrado_MS3;-22.6125;-54.036028
P0685;Fish_Cerrado_MS3;-22.872222;-54.076222
P0687;Fish_Cerrado_MS3;-22.223028;-53.750889
P0690;Fish_Cerrado_MS3;-22.311306;-53.952056
P0691;Fish_Cerrado_MS3;-22.316444;-54.185167
P0693;Fish_Cerrado_MS3;-22.523583;-55.466
P0699;Fish_Cerrado_MS3;-21.844528;-54.48725
P0705;Fish_Cerrado_MS3;-22.232833;-54.149056
P0713;Fish_Cerrado_MS3;-22.157444;-55.57175
P0714;Fish_Cerrado_MS3;-21.766028;-55.568667
P0717;Fish_Cerrado_MS3;-21.303694;-55.436667
P0718;Fish_Cerrado_MS3;-21.216028;-55.416278
P0720;Fish_Cerrado_MS3;-22.006639;-53.551806
P0721;Fish_Cerrado_MS3;-22.270111;-54.270278
P0722;Fish_Cerrado_MS3;-22.185083;-54.316972
P0730;Fish_Cerrado_MS3;-21.871722;-54.446889
P0737;Fish_Cerrado_MS3;-22.422111;-54.278222
P0738;Fish_Cerrado_MS3;-22.180389;-54.109972
P0739;Fish_Cerrado_MS3;-22.145222;-54.140056
P0740;Fish_Cerrado_MS3;-22.170194;-54.136111
P0742;Fish_Cerrado_MS3;-22.487917;-54.351694
P0744;Fish_Cerrado_MS3;-22.095778;-55.269361
P0745;Fish_Cerrado_MS3;-22.238167;-53.9495
P0747;Fish_Cerrado_MS3;-22.351472;-53.930222
P0748;Fish_Cerrado_MS3;-22.561361;-53.983342
P0750;Fish_Cerrado_MS3;-22.749417;-54.028389
P0751;Fish_Cerrado_MS3;-22.994778;-54.184472
P0752;Fish_Cerrado_MS3;-22.782806;-54.199944
P0753;Fish_Cerrado_MS3;-22.648778;-54.242361
P0754;Fish_Cerrado_MS3;-22.433972;-55.064361
P0755;Fish_Cerrado_MS3;-22.436722;-55.093861
P0756;Fish_Cerrado_MS3;-22.596028;-55.600556
P0758;Fish_Cerrado_MS3;-21.491472;-54.589306
P0766;Fish_Cerrado_MS3;-22.057222;-55.498028
P0780;Fish_Cerrado_MS3;-21.329028;-55.329028
P0783;Fish_Cerrado_MS3;-22.129694;-54.579278
P0784;Fish_Cerrado_MS3;-21.893333;-54.343778
P0786;Fish_Cerrado_MS3;-23.041639;-54.024056
P0787;Fish_Cerrado_MS3;-22.763194;-53.969833
P0793;Fish_Cerrado_MS3;-23.133333;-53.876111
P0798;Fish_Cerrado_MS3;-22.581472;-54.328361
P0799;Fish_Cerrado_MS3;-22.603417;-54.340778
P0802;Fish_Cerrado_MS3;-22.602833;-53.9385
P0804;Fish_Cerrado_MS3;-21.94183;-55.70272
P0805;Fish_Cerrado_MS3;-21.80758;-55.65744
P0806;Fish_Cerrado_MS3;-21.34994;-55.53342
P0807;Fish_Cerrado_MS3;-21.25867;-55.53669
P0810;Fish_Cerrado_MS3;-22.198569;-54.690304
P0812;Fish_Cerrado_MS3;-22.095546;-54.552002
P0819;Fish_Cerrado_MS3;-22.25629;-54.86129
P0821;Fish_Cerrado_MS3;-22.557378;-55.623394
P0824;Fish_Cerrado_MS3;-22.483465;-55.242073
P0825;Fish_Cerrado_MS3;-22.290982;-54.562171
P0830;Fish_Cerrado_MS3;-22.26527;-53.835482
P0832;Fish_Cerrado_MS3;-21.941386;-54.84665
P0835;Fish_Cerrado_MS3;-22.204921;-54.881643
P0836;Fish_Cerrado_MS3;-22.220884;-54.918114
P0837;Fish_Cerrado_MS3;-22.210763;-54.913785
P0844;Fish_Cerrado_MS3;-22.312387;-54.842315
P0849;Fish_Cerrado_MS3;-22.381333;-53.889722
P0872;Fish_Cerrado_MS3;-22.35417;-54.940721
P0889;Fish_Cerrado_MS3;-22.2894;-54.31873
P0890;Fish_Cerrado_MS3;-22.28602;-54.17278
P0891;Fish_Cerrado_MS3;-22.30312;-53.80622
P0895;Fish_Cerrado_MS3;-22.29321;-53.76251
P0896;Fish_Cerrado_MS3;-22.21137;-53.90292
P0897;Fish_Cerrado_MS3;-22.20297;-53.92812
P0903;Fish_Cerrado_MS3;-22.2453;-54.05251
P0904;Fish_Cerrado_MS3;-22.19177;-53.64944
P0905;Fish_Cerrado_MS3;-22.13218;-53.99947
P0907;Fish_Cerrado_MS4;-21.97072;-55.95173
P0908;Fish_Cerrado_MS4;-21.8989;-56.05018
P0909;Fish_Cerrado_MS4;-21.82586;-56.10278
P0919;Fish_Cerrado_MS4;-21.65833;-56.02726
P0922;Fish_Cerrado_MS4;-19.77643;-54.51244
P0923;Fish_Cerrado_MS4;-19.744;-54.64326
P0935;Fish_Cerrado_MS4;-20.65782;-55.14295
P0937;Fish_Cerrado_MS4;-20.80774;-54.88499
P0938;Fish_Cerrado_MS4;-20.88995;-54.94744
P0941;Fish_Cerrado_MS4;-21.95381;-55.84067
P0944;Fish_Cerrado_MS4;-21.88867;-55.78406
P0951;Fish_Cerrado_MT;-15.853734;-52.254766
P0953;Fish_Cerrado_MT;-15.854124;-52.136784
P0955;Fish_Cerrado_MT;-15.875474;-52.220117
P0970;Fish_Cerrado_MT;-15.71715047;-52.63596973
P0971;Fish_Cerrado_MT;-15.74185373;-52.62227507
P0972;Fish_Cerrado_MT;-15.75594019;-52.58935291
P0974;Fish_Cerrado_MT;-15.97608951;-52.3752345
P0975;Fish_Cerrado_MT;-15.96025229;-52.36101308
P0978;Fish_Cerrado_MT;-15.94042403;-52.42811823
P0979;Fish_Cerrado_MT;-15.86024775;-52.20240227
P0981;Fish_Cerrado_MT;-15.95347083;-52.13151695
P0982;Fish_Cerrado_MT;-15.78437415;-52.36235896
P0983;Fish_Cerrado_MT;-15.89842086;-52.18840224
P1018;Fish_MAtlantica_PR;-26.249419;-50.455832
P1025;Fish_MAtlantica_PR;-26.361554;-50.541335
P1030;Fish_MAtlantica_PR;-25.591663;-49.942123
P1032;Fish_MAtlantica_PR;-25.590102;-49.495963
P1033;Fish_MAtlantica_PR;-25.598704;-49.712226
P1034;Fish_MAtlantica_PR;-25.779297;-49.139057
P1035;Fish_MAtlantica_PR;-25.589437;-49.691576
P1037;Fish_MAtlantica_PR;-26.311363;-50.13643
P1040;Fish_MAtlantica_PR;-25.543093;-49.886077
P1050;Fish_MAtlantica_PR;-26.154086;-50.282479
P1055;Fish_MAtlantica_PR;-25.583689;-49.644379
P1057;Fish_MAtlantica_PR;-26.325166;-50.018271
P1070;Fish_MAtlantica_PR;-25.83688;-49.135434
P1071;Fish_MAtlantica_PR;-25.491373;-49.653604
P1073;Fish_MAtlantica_PR;-25.653984;-49.572053
P1077;Fish_MAtlantica_PR;-26.112772;-49.455536
P1078;Fish_MAtlantica_PR;-26.173485;-49.39709
P1079;Fish_MAtlantica_PR;-26.158883;-49.362218
P1081;Fish_MAtlantica_PR;-25.289828;-48.678691
P1083;Fish_MAtlantica_PR;-25.25622;-48.67675
P1089;Fish_MAtlantica_PR2;-23.328953;-51.890558
P1110;Fish_MAtlantica_PR2;-23.359442;-51.914231
