ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,A_abramis,A_affinis,A_albifrons,A_anisiti,A_dentatus,A_aff_fasciatus,A_lineatus,A_marionae,Ancistrus_sp,A_pantaneiro,A_plagiozonatus,Astyanax_sp1,Astyanax_sp2,Astyanax_sp3,A_asuncionensis,Brachyhypopomus_spB,Brachyhypopomus_spC,B_exodon,B_hilarii,B_retrospina,B_stramineus,C_aeneus,C_areio,C_borellii,C_callichthyes,C_dimerus,C_gomesi,C_lepidota,C_meridionalis,C_vittata,Corydoras_spn,Characidium_sp,Characidium_sp1,Crenicichla_sp,C_aff_zebra,E_trilineata,F_cf_isbrueckeri,F_paraguayensis,G_britskii,G_inaquilabiatus,G_ternetzi,Gymnotus_sp,H_basilisko,H_boulengeri,H_cochliodon,H_eques,Hoplias_sp1,H_khimeara,H_littorale,H_aff_latirostris,H_luetkenii,H_piratatu,Hypostumus_sp,I_mirini,I_schubarti,I_stictonatus,Imparfinis_sp,Imparfinis_sp1,J_acanthogaster,L_cf_coximensis,L_frederici,L_lacustris,L_lucie,L_obtusidens,L_striatus,M_bonita,M_foresti,M_intermedia,M_oligolepis,M_sanctafilomenae,O_pintoi,O_pequira,O_paraguayensis,P_analis,P_australis,P_corruscans,P_gobioides,P_gracilis,P_hoehnei,P_kennydie,P_lineatus,P_oxyptera,P_mangurus,P_melanostoma,P_menezesi,P_nasus,P_paraguayensis,P_reticulata,P_taenioptera,P_tegatus,P_torenticula,R_lanceolata,R_parva,R_quelen,S_brasiliensis,S_brevipinna,S_calliura,S_macrurus,S_marginatus,S_marmoratus,S_nigrotaenia,S_notomelas,T_argenteus,T_neivai,X_macropus
P0927,-20.11004,-54.77401,Cór. Água boa,Fish_Cerrado_MS4,150,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
P0928,-20.21865,-54.77985,Piranputanguinha,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
P0929,-20.43206,-54.83317,Afl_Rib_Cirola,Fish_Cerrado_MS4,150,NA,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,14,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
P0930,-20.43162,-54.99969,Cachoeirinha,Fish_Cerrado_MS4,150,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0931,-20.4686,-55.69741,Cor_Porteira,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0932,-20.45084,-55.62155,Cor_morcego,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0933,-20.48983,-55.60015,Cor_Paxixi,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,9,1,0,0,0,0,0,71,0,0,17,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0
P0934,-20.53518,-55.5554,Rib_dois_irmãos,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,6,0,0,0,0,0,0,0,77,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
P0935,-20.65782,-55.14295,Rib_Belchior,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
P0936,-20.54468,-54.95784,Cor_Pulador,Fish_Cerrado_MS4,150,NA,0,0,0,4,0,0,0,0,1,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,15,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
