ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Apareiodon_ibitiensis,Apareiodon_piracicabae,Astyanax_lacustris,Astyanax_bockmanni,Astyanax_fasciatus,Astyanax_paranae,Astyanax_sp1,Astyanax_sp2,Bryconamericus_iheringii,Bryconamericus_turiuba,Cetopsorhamdia_iheringi,Characidium_zebra,Characidium_gomesi,Corumbataia_cuestae,Corydoras_aeneus,Corydoras_flaveolus,Eigenmania_trilineata,Geophagus_brasiliensis,Gymnotus_sylvius,Hisonotus_francirochai,Hoplias_malabaricus,Hyphessobrycon_anisitsi,Hyphessobrycon_bifasciatus,Hypostomus_ancistroides,Hypostomus_nigromaculatus,Hypostomus_strigaticeps,Hypostomus_sp,Imparfinis_borodini,Imparfinis_mirini,Neoplecostomus_paranaensis,Oligosarcus_paranaensis,Oreochromis_niloticus,Parodon_nasus,Phalloceros_harpagos,Piabina_argentea,Pimelodella_brasiliensis,Poecilia_reticulata,Rhamdia_quelen,Rineloricaria_latirostris,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrapinnus_sp,Steindachnerina_insculpta,Synbranchus_marmoratus,Trichomycterus_sp
P1341,-22.221202,-47.525458,Corumbatai_61,Fish_MAtlantica_SP2,170,68.72246696,0,0,38,21,22,113,0,0,15,0,0,0,0,1,0,0,0,5,0,0,0,0,2,1,0,0,0,0,6,0,0,1,0,16,0,0,0,1,0,59,0,0,0,0,8
P1342,-22.278197,-47.594643,Corumbatai_62,Fish_MAtlantica_SP2,170,64.78248822,0,0,0,2,3,17,0,0,16,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,4,2,0,2,0,0
P1343,-22.191033,-47.608316,Corumbatai_63,Fish_MAtlantica_SP2,170,85.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P1344,-22.274352,-47.609772,Corumbatai_64,Fish_MAtlantica_SP2,170,55.06859756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0
P1345,-22.298929,-47.594376,Corumbatai_65,Fish_MAtlantica_SP2,170,73.25,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
P1346,-22.286253,-47.621963,Corumbatai_66,Fish_MAtlantica_SP2,170,34.07079646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
P1347,-22.276063,-47.577319,Corumbatai_67,Fish_MAtlantica_SP2,170,71.46892655,2,0,1,3,0,24,0,0,0,0,0,5,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,22
P1348,-22.195299,-47.575716,Corumbatai_68,Fish_MAtlantica_SP2,170,56.20155039,0,0,0,0,0,11,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
P1349,-22.195219,-47.59549,Corumbatai_69,Fish_MAtlantica_SP2,170,44.55128205,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12
P1350,-22.214797,-47.608697,Corumbatai_70,Fish_MAtlantica_SP2,170,59.72482802,0,1,2,0,3,2,0,0,1,0,0,15,0,11,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
P1351,-22.177084,-47.584621,Corumbatai_71,Fish_MAtlantica_SP2,170,42.21867518,1,0,0,0,0,7,0,0,4,0,1,3,0,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,25
P1352,-22.182587,-47.581988,Corumbatai_72,Fish_MAtlantica_SP2,170,71.08559499,0,0,0,0,0,11,0,0,9,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
P1353,-22.517879,-47.514367,Corumbatai_73,Fish_MAtlantica_SP2,170,39.39393939,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1354,-22.51389,-47.543018,Corumbatai_74,Fish_MAtlantica_SP2,170,84.45945946,0,0,9,0,0,5,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,3,0,0,18,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
P1355,-22.511094,-47.562798,Corumbatai_75,Fish_MAtlantica_SP2,170,100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
