ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Apareiodon_piracicabae,Aphyocharax_anisitsi,Apistogramma_combrae,Astyanax_sp,Astyanax_lacustris,Astyanax_fasciatus,Bryconamericus_stramineus,Bryconamericus_turiuba,Callichthys_callicchthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_zebra,Cichlasoma_paranaense,Corydoras_aeneus,Clarias_gariepinus,Crenicichla_britskii,Cyphocarax_sp,Eigenmannia_trilineata,Erythrinus_erythrinus,Geophagus_brasilensis,Gymnotus_inaquilabiatus,Hemigrammus_marginatus,Hisonotus_insperatus,Othothiropsis_marapoama,Othothiropsis_polyodon,Hoplerythrinus_unitaeniatus,Hoplias_sp1,Hoplias_sp2,Hoplias_sp3,Hoplosternum_littorale,Hyphessobrycon_anisitsi,Hyphessobrycon_eques,Hypostomus_albopunctatus,Hypostomus_ancistroides,Hypostomus_iheringii,Hypostomus_sp,Hypostomus_strigaticeps,Imparfinis_borodini,Imparfinis_schubarti,Knodus_moenkhausii,Laetocaria_araguaia,Leporinus_amblyrhynchus,Leporinus_friderici,Leporinus_striatus,Moenkhausia_bonita,Moenkhausia_foresti,Moenkhausia_intermedia,Odontostilbe_sp,Oligosarcus_pintoi,Parauchenipterus_galeatus,Parodon_nasus,Phalloceros_harpagos,Phallotorynus_pankallus,Phenacorhandia_tenebrosa,Piabina_argentea,Pimelodella_gracilis,Pimelodus_maculatus,Potamotrygon_falkneri,Prochilodus_lineatus,Psellogrammus_kennedyi,Pseudoplatystoma_corruscans,Pyrrhulina_australis,Rhamdia_quelen,Rineloricaria_latirostris,Rineloricaria_Lanceolata,Melanorivulus_apiamici,Salminus_brasiliensis,Salminus_hilarii,Schizodon_nasutus,Scoloplax_empousa,Serrapinnus_notomelas,Serrapinus_sp,Sorubim_lima,Steindachinerina_brevipina,Steindachnerina_insculpta,Sternopygus_macrurus,Synbranchus_marmoratus,Tilapia_rendalli
P0567,-22.79251,-55.22477,AM22,Fish_Cerrado_MS,150,NA,0,0,0,13,0,44,12,6,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0568,-22.64299,-55.1878,AM24,Fish_Cerrado_MS,150,NA,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0569,-22.73446,-54.71685,AM25,Fish_Cerrado_MS,150,NA,0,0,0,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0570,-22.85443,-54.63698,AM26,Fish_Cerrado_MS,150,NA,0,0,0,24,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0571,-22.66274,-55.57349,AM27,Fish_Cerrado_MS,150,NA,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0572,-22.7712,-55.63221,AM28,Fish_Cerrado_MS,150,NA,0,0,0,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0573,-23.17932,-55.53846,AM29,Fish_Cerrado_MS,150,NA,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0574,-23.2406,-55.53552,AM30,Fish_Cerrado_MS,150,NA,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0575,-23.1687,-55.34413,AM31,Fish_Cerrado_MS,150,NA,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0576,-23.13083,-55.22092,AM32,Fish_Cerrado_MS,150,NA,0,0,0,4,1,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,3,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0577,-23.10379,-55.17038,AM33,Fish_Cerrado_MS,150,NA,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0578,-23.04425,-55.1143,AM34,Fish_Cerrado_MS,150,NA,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0579,-22.88836,-54.65507,AM35,Fish_Cerrado_MS,150,NA,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,6,0,14,0,0,0,0,0,0,0,1,4,0,6,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0580,-22.92585,-54.50236,AM36,Fish_Cerrado_MS,150,NA,0,0,0,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P0581,-23.26085,-54.19849,AM37,Fish_Cerrado_MS,150,NA,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0582,-23.28015,-54.12569,AM38,Fish_Cerrado_MS,150,NA,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
P0583,-23.22593,-54.2188,AM39,Fish_Cerrado_MS,150,NA,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0584,-23.26357,-54.26957,AM40,Fish_Cerrado_MS,150,NA,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0585,-23.18626,-54.41059,AM41,Fish_Cerrado_MS,150,NA,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0586,-23.08512,-54.49495,AM42,Fish_Cerrado_MS,150,NA,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0587,-22.75854,-54.96185,AM43,Fish_Cerrado_MS,150,NA,0,0,0,0,0,4,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P0588,-22.70997,-55.09578,AM44,Fish_Cerrado_MS,150,NA,1,0,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0589,-22.61004,-55.06682,AM45,Fish_Cerrado_MS,150,NA,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P0590,-22.99765,-54.99375,AM46,Fish_Cerrado_MS,150,NA,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0591,-22.9135,-54.80117,AM47,Fish_Cerrado_MS,150,NA,0,0,0,2,0,2,15,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0592,-22.94815,-54.57928,AM48,Fish_Cerrado_MS,150,NA,0,0,0,2,9,14,8,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0593,-22.86617,-54.58963,AM49,Fish_Cerrado_MS,150,NA,0,0,0,94,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
P0594,-22.87357,-54.5351,AM50,Fish_Cerrado_MS,150,NA,0,0,0,0,0,11,13,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P0595,-22.78275,-54.53992,AM51,Fish_Cerrado_MS,150,NA,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0596,-23.28894,-53.96099,AM52,Fish_Cerrado_MS,150,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0597,-23.04361,-55.18116,AM53,Fish_Cerrado_MS,150,NA,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0598,-22.70961,-55.09692,PT60,Fish_Cerrado_MS,150,NA,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0599,-22.61142,-55.42225,PT61,Fish_Cerrado_MS,150,NA,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0600,-23.13774,-54.20128,TA1,Fish_Cerrado_MS,150,NA,0,1,0,266,10,1,8,0,0,3,0,12,7,4,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,0,15,0,2,0,0,1,1,0,0,0,0,0,0,2,0,11,0,0,604,0,0,0,59,1,0,3,0,2,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0
P0601,-23.12243,-54.21751,TA2,Fish_Cerrado_MS,150,NA,0,5,0,101,11,1,5,0,1,0,0,1,8,15,0,1,1,0,12,0,16,1,0,0,2,0,6,0,0,0,0,0,0,11,0,20,0,0,0,0,0,0,0,0,1,0,0,1,3,3,2,951,0,1,0,1,0,0,4,0,0,0,15,0,0,0,0,0,0,0,14,12,0,1,0,0,0,1
