ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus_cf_aguaboensis,Ancistrus_sp_1,Ancistrus_sp_2,Apareiodon_machrisi,Apteronotus_camposdapazi,Aspidoras_albater,Astyanax_elachlepis,Astyanax_cf_goyanensis,Astyanax_aff_Scabripinnis,Astyanax_novae,Bryconops_cf_caudomaculatus,Bryconops_melanurus,Cetopsis_arcana,Cetopsorhamdia_cf_iheringi,Cetopsis_cf_plumbea,Cetopsorhamdia_molinae,Cetopsorhamdia_sp,Characidium_aff_zebra,Cichlasoma_araguaiense,Corumbataia_tocantinensis,Corumbataia_sp,Creagrutus_britskii,Creagrutus_cf_strisignum,Crenicichla_labrina,Ctenocheirodon_pristis,Eigenmannia_sp,Farlowella_cf_oxyrhyncha,Gymnotus_aff_carapo,Harttia_punctata,Hemiancistrus_cerrado,Hemigrammus_ataktos,Hoplias_malabaricus,Hypostomus_ericae,Hypostomus_sp1,Hypostomus_sp2,Imparfinis_cf_borodini,Imparfinis_cf_schubarti,Ituglanis_sp,Jupiaba_apenina,Jupiaba_sp,Knodus_cf_chapadae,Knodus_sp,Leporinus_friderici,Leporinus_sp,Loricaria_sp,Moenkhausia_aurantia,Moenkhausia_sp,Moenkhausia_oligolepis,Moenkhausia_pankilopteryx,Nannoplecostomus_eleonorae,Phenacogaster_sp,Phenacorhamdia_sp,Pimelodella_sp,Pseudopimelodus_pulcher,Retroculus_lapidifer,Rhamdia_aff_quelen,Rhamdia_cf_itacaiunas,Rineloricaria_lanceolata,Rineloricaria_osvaldoi,Serrapinnus_tocantincensis,Spatuloricaria_cf_evansii,Steindachnerina_amazonica,Sternopygus_macrurus,Synbranchus_cf_marmoratus,Trichomycterus_sp
P0356,-13.392222,-48.602611,P25,fish_Cerrado_GO,160,10.97426252,0,0,19,0,0,16,0,0,0,2,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,44,0,0,5,0,24,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0357,-13.363611,-48.59925,P26,fish_Cerrado_GO,160,0.96289548,0,42,9,0,0,3,31,0,0,12,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,13,0,0,8,0,15,1,0,0,0,2,0,98,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
P0358,-13.339778,-48.612861,P27,fish_Cerrado_GO,160,0.102251998,0,0,1,2,0,0,0,0,0,20,0,0,0,0,0,0,0,70,0,0,0,3,0,0,0,0,0,3,6,0,9,1,0,7,1,0,7,0,0,0,105,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
P0359,-13.283944,-48.626722,P28,fish_Cerrado_GO,160,52.27920228,0,0,8,0,2,23,0,0,0,46,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,3,0,0,0,71,0,0,0,0,0,0,12,0,0,0,1,0,0,0,2,0,0,0,0,0,0,4,2,0
P0360,-13.251167,-48.673861,P29,fish_Cerrado_GO,160,3.977151062,0,0,27,1,1,6,11,0,0,55,0,2,0,0,0,0,0,17,2,0,0,10,0,1,0,0,0,4,0,0,6,0,0,4,2,0,12,1,7,0,229,0,0,0,0,0,0,14,11,0,0,13,23,0,0,5,2,0,0,0,0,1,0,3,0
P0361,-13.813389,-48.891278,P30,fish_Cerrado_GO,160,45.31314315,0,37,19,5,2,0,29,0,0,37,0,3,0,0,1,1,0,96,7,0,0,48,0,0,0,0,0,4,41,0,0,5,0,48,22,0,0,0,0,0,137,0,0,3,0,0,0,1,0,21,0,9,5,0,0,2,1,1,0,0,11,0,1,0,0
P0362,-15.0765,-48.9658,BA1,fish_Cerrado_GO,160,NA,14,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P0363,-15.0947,-48.9862,BA2,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
P0364,-15.0498,-48.9554,BA3,fish_Cerrado_GO,160,NA,8,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,31,17,0,0,0,15,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
P0365,-15.0184,-48.9556,BA4,fish_Cerrado_GO,160,NA,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18
P0366,-15.0045,-48.9517,BA5,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,20,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,1,0,0,0
P0367,-14.9932,-48.939,BA6,fish_Cerrado_GO,160,NA,4,0,0,0,0,0,1,1,0,0,0,0,1,5,0,0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,4,0,0,0,0,0,0,0,0
P0368,-15.0976,-49.0403,BA8,fish_Cerrado_GO,160,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,64,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
P0369,-15.1117,-49.027,BA9,fish_Cerrado_GO,160,NA,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P0370,-14.9357,-48.9232,BA10,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,26,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
P0371,-14.955,-48.9454,BA11,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0372,-14.8839,-48.8828,BA12,fish_Cerrado_GO,160,NA,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,51,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0
P0373,-15.0503,-48.9555,BA13,fish_Cerrado_GO,160,NA,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0374,-14.1837,-48.351,Ni1,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0375,-14.2116,-48.3281,Ni2,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,38,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
P0376,-14.2571,-48.3307,Ni3,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,0,0,5,0,0,0,0,12,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
P0377,-14.3407,-48.3391,Ni4,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0378,-14.2691,-48.7271,Ni5,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,6,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
P0379,-14.3687,-48.7169,Ni6,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0
P0380,-14.3939,-48.8105,Ni7,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
P0381,-14.4211,-48.7353,Ni8,fish_Cerrado_GO,160,NA,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0,1,2,0,0,0,48,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,2,0,0
P0382,-14.3899,-48.3583,Ni9,fish_Cerrado_GO,160,NA,43,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,31,1,0,0,0,38,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
P0383,-14.4501,-48.3702,Ni10,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0384,-14.4303,-48.3807,Ni12,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
P0385,-14.1072,-48.3603,Ni13,fish_Cerrado_GO,160,NA,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
