ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_lacustris,Apareiodon_piracicabae,Aspidoras_fuscoguttatus,Astyanax_altiparanae,Astyanax_fasciatus,Astyanax_paranensis,Astyanax_bockmanni,Bryconamericus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagossantense,Characidium_zebra,Cichlasoma_paranaense ,Corydoras_aeneus,Crenicichla_britskii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_virescens,Erythrinus_erythrinus,Geophagus_brasiliensis,Gymnotus_sylvius,Gymnotus_inaequilabiatus,Hemigrammus_marginatus,Hisonotus_francirochai,Hoplosternum_littorale,Hoplias_malabaricus,Hypostomus_ancistroides,Hyphessobrycon_anisitsi ,Hyphessobrycon_eques,Hypostomus_nigromaculatus,Imparfinis_schubarti,Knodus_moenkhausii,Laetacara_aff_araguaiae,Leporinus_friderici,Leporinus_lacustris ,Leporinus_paranensis,Lepthoplosternum_pectorale,Leporinus_striatus,Moenkhausia_sanctaefilomenae,Oligosarcus_pintoi,Oreochromis_niloticus,Pamphorichthys_hollandi,Parodon_nasus,Phalloceros_harpagos,Phenacorhamdia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae ,Planaltina_britskii ,Poecilia_reticulata ,Prochilodus_lineatus ,Pseudopimelodus_pulcher,Pyrrhulina_australis ,Rhamdia_quelen,Rivulus_pictus,Satanoperca_pappaterra,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_insculpta,Synbranchus_marmoratus,Tilapia_rendalli 
P1210,-20.597083,-50.758111,025IBISJD,Fish_MAtlantica_SP,170,94.79,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
P1211,-20.524667,-51.049,026IBISJD,Fish_MAtlantica_SP,170,100,0,0,0,9,0,0,0,0,0,0,0,5,0,12,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,241,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,49,0,0,0,0,0
P1212,-20.382944,-50.585722,027IBISJD,Fish_MAtlantica_SP,170,89.41,0,0,0,18,24,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,2,8,29,0,0,0,0,0,0,0,0,1,0,3,0,0,7,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
P1213,-20.424528,-50.602917,028IBISJD,Fish_MAtlantica_SP,170,93.92,0,0,10,30,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1214,-20.463472,-50.585028,029IBISJD,Fish_MAtlantica_SP,170,97.59,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
P1215,-20.308139,-50.641278,030IBISJD,Fish_MAtlantica_SP,170,100,0,0,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
P1216,-20.347583,-50.6785,031IBISJD,Fish_MAtlantica_SP,170,93.85,0,0,5,31,2,0,0,0,0,0,0,0,0,9,0,8,0,4,0,0,0,0,0,122,0,0,3,1,0,0,0,0,29,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,95,0,0,0,0,0
P1217,-20.386472,-50.78175,032IBISJD,Fish_MAtlantica_SP,170,100,0,0,208,12,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,225,31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,0,6,0,0,0,0,0
P1218,-20.431583,-50.813972,033IBISJD,Fish_MAtlantica_SP,170,89.44,0,0,4,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,97,0,0,0,0,1,0,0,0,0,0,0,0,0
P1219,-20.518917,-50.926972,034IBISJD,Fish_MAtlantica_SP,170,94.63,0,3,6,939,18,0,0,13,0,0,0,0,98,0,0,2,0,0,0,0,0,2,0,0,0,0,0,23,0,0,0,53,188,1,7,0,0,0,1,1,0,0,36,88,0,0,0,0,0,1,0,6,0,1,0,0,0,8,0,0,0,0,0
