ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Ancistrus_sp,Ancistrus_multispinnis,Apareiodon_vittatus ,Astyanax_ribeirae,Astyanax_laticeps,Astyanax_bimaculatus,Astyanax_paranae,Astyanax_lacustris,Astyanax_sp,Astyanax_bifasciatus,Astyanax_minor,Astyanax_serratus,Astyanax_dissimilis,Astyanax_totae,Astyanax_ita,Astyanax_gymnodontus,Bryconamericus_ikaa,Bryconamericus_sp,Bryconamericus_ikaa,Bryconamericus_stramineus,Bryconamericus_pyahu,Callichthys_callichthys,Cichlasoma_paranaense,Characidium_lanei,Characidium_pterostictum,Cnesterodon_hypselurus,Corydoras_ehrhardti,Corydoras_longipinnis,Crenicichla_iguassuensis,Crenicichla_haroldoi,Cyphocharax_sp,Deuterodon_langei,Geophagus_brasiliensis,Glandulocauda_caerulea,Gymnotus_inaequilabitaus,Kronichthys_lacerta,Heptapterus_stewarti,Hisonotus_leucofrenatus,Hisonotus_sp,Hollandichthys_multifasciatus,Hoplias_sp,Hyphessobrycon_reticulatus,Hyphessobrycon_itaparicensis,Hyphessobrycon_bifasciatus,Hypostomus_ancistroides,Hypostomus_derbyi,Hypostomus_sp,Jenynsia_eigenmanni,Melanorivulus_apiamici,Mimagoniates_microlepis,Misgurnus_anguillicaudatus,Oligosarcus_longirostris,Phallotorynus_pankalos,Pareiorhaphis_steindachneri,Pareiorhaphis_parmula,Phalloceros_spiloura,Phalloceros harpagos,Phalloceros_sp,Piabina_argentea,Pimelodella_pappenheimi,Pimelodella_sp,Prochilodus_lineatus,Poecilia_vivipara,Pseudotothyris_obtusa,Pyrhulina_australis,Rhamdia_quelen,Rhamdia_branneri,Rhamdia_voulezi,Rhamdioglanis_frenatus,Rhamdiopsis_moreirai,Rineloricaria_lima,Rineloricaria_sp,Rineloricaria_maacki,Rineloricaria_langei,Rivulus_sp,Scleromystax_barbatus,Serrapinus_notomelas,Synbranchus_sp,Trichomycterus_castroi,Trichomycterus_naipi,Trichomycterus_davisi,Trichomycterus_plumbeus,Trichomycterus_sp
P1040,-25.543093,-49.886077,Riacho_Canoninhas,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1041,-25.585888,-49.73352,Rio_Canivete,Fish_MAtlantica_PR,170,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1042,-26.212446,-50.393172,Rio_Agua_Verde,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
P1043,-26.098372,-49.310493,Rio_Colonia_Nova,Fish_MAtlantica_PR,170,85,0,0,0,0,0,0,0,0,0,3,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,8,0,1,0,0,0,0,0,28,0,1,18,0,0,0,0,0,0,0,88,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1044,-25.620807,-49.255462,Rio_Cotia,Fish_MAtlantica_PR,170,50,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1045,-26.285397,-50.623719,Rio_da_Areia,Fish_MAtlantica_PR,170,90,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
P1046,-25.468536,-52.116438,Rio_da_Lage,Fish_MAtlantica_PR,170,55,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1047,-26.133528,-50.85945,Rio_Vargem_Grande,Fish_MAtlantica_PR,170,25,0,0,0,0,0,0,0,0,0,1,1,2,58,0,0,0,1,0,0,0,0,0,0,0,0,0,5,68,0,0,0,0,0,0,0,0,0,0,72,0,0,6,0,0,0,0,0,0,0,29,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,8,0
P1048,-25.538502,-49.714701,Rio_das_Mortes,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1049,-25.548887,-49.807681,Rio_dos_Papagaios,Fish_MAtlantica_PR,170,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
