ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_pantaneiro,Ancistrus_sp1_lisa,Ancistrus_sp2_vermiculada,Apareiodon_affinis,Aphyocharax_dentatus,Aphyocharax_rathbuni,Aphyocharax_nattereri,Apistograma_trifasciata,Astyanax_lacustris,Astyanax_lineatus,Astyanax_marionae,Astyanax_sp1,Astyanax_sp2,Brachychalcinus_retrospina,Brachyhypopomus_spC,Bryconamericus_stramineus,Bryconamericus_exodon,Brycon_hilarii,Bryconops_melanurus,Bunocephalus_doriae,Callichthys_callichthys,Chaetobranchopsis_australis,Characidium_gomesi,Characidium_laterale,Characidium_sp,Characidium_sp1,Characidium_zebra,Cichlasoma_dimerus,Corydoras_aeneus,Corydoras_aurofrenatus,Creagrutus_meridionalis,Crenicichla_lepidota,Cyphocharax_gillii,Eigenmannia_desantonai,Farlowella_paraguayensis,Gymnotus_sp,Gymnotus_paraguensis,Hemigrammus_lunatus,Hypostomus_basilisko,Hoplias_sp2,Hyphessobrycon_eques,Hyphessobrycon_luetknii,Hypostomus_cochliodon,Hypostomus_khimaera,Hypostomus_latirostris,Hypostomus_boulengeri,Imparfinis_stictonatus,Imparfinis_sp,Imparfinis_sp1,Ituglanis_eichorniarium,Jupiaba_acanthogaster,Leporellus_vittatus,Leporinus_friderici,Leporinus_lacustris,Leporinus_striatus,Loricaria_luciae,Moenkhausia_bonita,Moenkhausia_dichroura,Moenkhausia_forestii,Moenkhausia_oligolepsis,Odontostilbe_pequira,Oligosarcus_pintoi,Othothiropsis_spn,Odontostilbe_paraguaiensis,Otocincluscfbororo,Paravandellia_oxyptera,Piabarchus_analis,Piabarchus_torrenticola,Pimelodella_gracilis,Pimelodus_maculatus,Pseudopimelodus_mangurus,Prochilodus_lineatus,Psellogrammus_kennedyi,Pyrrhulina_australis,Poptella_paraguayensis,Phenacogaster_tegatus,Rhamdia_quelen,Rineloricaria_aurata,Rineloricaria_lanceolata,Rineloricaria_parva,Serrapinus_calliurus,Hyphessobrycon_elachys,Satanoperca_pappaterra,Steindachnerina_brevipinna,Steindachnerina_sp,Synbranchus_marmoratus,Xenurobrycon_macropus
P0630,-21.95074,-56.7059,APA22,Fish_Cerrado_MS2,150,NA,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0631,-21.99424,-56.7316,APA23,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
P0632,-21.94332,-56.7595,APA24,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P0633,-21.97174,-56.7474,APA25,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,5,0,0,0,0,0,0,0,2,0,1,0,10,0,0,0,4,0,0,7,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
P0634,-21.39124,-56.8096,APA26,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
P0635,-21.54082,-56.93872,APA27,Fish_Cerrado_MS2,150,NA,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,190,0,0,0,0,0,0,0,0,1,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0
P0636,-21.82076,-57.23557,APA28,Fish_Cerrado_MS2,150,NA,0,1,0,0,0,0,0,0,3,33,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,14
P0637,-21.97013,-56.79573,APA29,Fish_Cerrado_MS2,150,NA,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P0638,-22.01072,-57.03733,APA30,Fish_Cerrado_MS2,150,NA,0,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
P0639,-22.00971,-57.07977,APA31,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
P0640,-22.12034,-57.26581,APA32,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,22,0,0,0,0,0,0
